id,Name,Experience,Height,Weight,Abilitie 1,Abilitie 2,Abilitie 3,Move 1,Move 2,Move 3,Move 3,Move 5,Move 6,Move 7
35,clefairy,113,6,75,friend-guard,magic-guard,cute-charm,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
36,clefable,217,13,400,unaware,magic-guard,cute-charm,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
37,vulpix,60,6,99,drought,flash-fire,nenhuma,headbutt,body-slam,take-down,double-edge,tail-whip,roar,disable
38,ninetales,177,11,199,drought,flash-fire,nenhuma,headbutt,body-slam,take-down,double-edge,tail-whip,roar,ember
39,jigglypuff,95,5,55,friend-guard,competitive,cute-charm,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
40,wigglytuff,196,10,120,frisk,competitive,cute-charm,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
41,zubat,49,8,75,infiltrator,inner-focus,nenhuma,razor-wind,gust,wing-attack,whirlwind,fly,take-down,double-edge
42,golbat,159,16,550,infiltrator,inner-focus,nenhuma,razor-wind,wing-attack,whirlwind,fly,take-down,double-edge,bite
43,oddish,64,5,54,run-away,chlorophyll,nenhuma,swords-dance,cut,take-down,double-edge,acid,absorb,mega-drain
44,gloom,138,8,86,stench,chlorophyll,nenhuma,swords-dance,cut,take-down,double-edge,acid,absorb,mega-drain
45,vileplume,221,12,186,effect-spore,chlorophyll,nenhuma,swords-dance,cut,body-slam,take-down,double-edge,acid,hyper-beam
46,paras,57,3,54,damp,dry-skin,effect-spore,scratch,swords-dance,cut,body-slam,take-down,double-edge,psybeam
47,parasect,142,10,295,damp,dry-skin,effect-spore,scratch,swords-dance,cut,body-slam,take-down,double-edge,hyper-beam
48,venonat,61,10,300,run-away,tinted-lens,compound-eyes,tackle,take-down,double-edge,supersonic,disable,psybeam,mega-drain
49,venomoth,158,15,125,wonder-skin,tinted-lens,shield-dust,razor-wind,gust,whirlwind,tackle,take-down,double-edge,supersonic
50,diglett,53,2,8,sand-force,arena-trap,sand-veil,scratch,cut,sand-attack,headbutt,body-slam,take-down,double-edge
51,dugtrio,149,7,333,sand-force,arena-trap,sand-veil,scratch,cut,sand-attack,body-slam,take-down,double-edge,growl
52,meowth,58,4,42,unnerve,technician,pickup,pay-day,scratch,cut,headbutt,body-slam,take-down,double-edge
53,persian,154,10,320,unnerve,technician,limber,pay-day,scratch,cut,headbutt,body-slam,take-down,double-edge
54,psyduck,64,8,196,swift-swim,cloud-nine,damp,mega-punch,pay-day,ice-punch,scratch,mega-kick,headbutt,body-slam
55,golduck,175,17,766,swift-swim,cloud-nine,damp,mega-punch,pay-day,ice-punch,scratch,mega-kick,headbutt,body-slam
56,mankey,61,5,280,defiant,anger-point,vital-spirit,karate-chop,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,scratch
57,primeape,159,10,320,defiant,anger-point,vital-spirit,karate-chop,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,scratch
58,growlithe,70,7,190,justified,flash-fire,intimidate,double-kick,headbutt,body-slam,take-down,thrash,double-edge,leer
59,arcanine,194,19,1550,justified,flash-fire,intimidate,headbutt,body-slam,take-down,double-edge,leer,bite,roar
60,poliwag,60,6,124,swift-swim,damp,water-absorb,double-slap,headbutt,body-slam,take-down,double-edge,mist,water-gun
61,poliwhirl,135,10,200,swift-swim,damp,water-absorb,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam,take-down
62,poliwrath,230,13,540,swift-swim,damp,water-absorb,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam,take-down
63,abra,62,9,195,magic-guard,inner-focus,synchronize,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
64,kadabra,140,13,565,magic-guard,inner-focus,synchronize,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
65,alakazam,225,15,480,magic-guard,inner-focus,synchronize,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
66,machop,61,8,195,steadfast,no-guard,guts,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,rolling-kick
67,machoke,142,15,705,steadfast,no-guard,guts,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
68,machamp,227,16,1300,steadfast,no-guard,guts,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
69,bellsprout,60,7,40,gluttony,chlorophyll,nenhuma,swords-dance,cut,bind,slam,vine-whip,wrap,take-down
70,weepinbell,137,10,64,gluttony,chlorophyll,nenhuma,swords-dance,cut,bind,slam,vine-whip,wrap,take-down
71,victreebel,221,17,155,gluttony,chlorophyll,nenhuma,swords-dance,cut,bind,vine-whip,body-slam,wrap,take-down
72,tentacool,67,9,455,rain-dish,liquid-ooze,clear-body,swords-dance,cut,bind,wrap,take-down,double-edge,poison-sting
73,tentacruel,180,16,550,rain-dish,liquid-ooze,clear-body,swords-dance,cut,bind,wrap,take-down,double-edge,poison-sting
74,geodude,60,4,200,sand-veil,sturdy,rock-head,mega-punch,fire-punch,thunder-punch,headbutt,tackle,body-slam,take-down
75,graveler,137,10,1050,sand-veil,sturdy,rock-head,mega-punch,fire-punch,thunder-punch,headbutt,tackle,body-slam,take-down
76,golem,223,14,3000,sand-veil,sturdy,rock-head,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,tackle,body-slam
77,ponyta,82,10,300,flame-body,flash-fire,run-away,stomp,double-kick,headbutt,horn-drill,tackle,body-slam,take-down
78,rapidash,175,17,950,flame-body,flash-fire,run-away,stomp,headbutt,fury-attack,horn-drill,tackle,body-slam,take-down
79,slowpoke,63,12,360,regenerator,own-tempo,oblivious,pay-day,stomp,headbutt,tackle,body-slam,take-down,double-edge
80,slowbro,172,16,785,regenerator,own-tempo,oblivious,mega-punch,pay-day,ice-punch,mega-kick,headbutt,tackle,body-slam
81,magnemite,65,3,60,analytic,sturdy,magnet-pull,tackle,take-down,double-edge,supersonic,sonic-boom,thunder-shock,thunderbolt
82,magneton,163,10,600,analytic,sturdy,magnet-pull,tackle,take-down,double-edge,supersonic,sonic-boom,hyper-beam,thunder-shock
83,farfetchd,132,8,150,defiant,inner-focus,keen-eye,razor-wind,swords-dance,cut,gust,whirlwind,fly,sand-attack
84,doduo,62,14,392,tangled-feet,early-bird,run-away,swords-dance,whirlwind,fly,jump-kick,fury-attack,body-slam,take-down
85,dodrio,165,18,852,tangled-feet,early-bird,run-away,swords-dance,whirlwind,fly,jump-kick,fury-attack,body-slam,take-down
86,seel,65,11,900,ice-body,hydration,thick-fat,pay-day,slam,headbutt,horn-drill,body-slam,take-down,double-edge
87,dewgong,166,17,1200,ice-body,hydration,thick-fat,pay-day,headbutt,horn-drill,body-slam,take-down,double-edge,growl
88,grimer,65,9,300,poison-touch,sticky-hold,stench,pound,fire-punch,ice-punch,thunder-punch,body-slam,disable,flamethrower
89,muk,175,12,300,poison-touch,sticky-hold,stench,pound,fire-punch,ice-punch,thunder-punch,body-slam,disable,flamethrower
90,shellder,61,3,40,overcoat,skill-link,shell-armor,tackle,take-down,double-edge,twineedle,leer,supersonic,water-gun
91,cloyster,184,15,1325,overcoat,skill-link,shell-armor,take-down,double-edge,supersonic,water-gun,hydro-pump,surf,ice-beam
92,gastly,62,13,1,levitate,nenhuma,nenhuma,fire-punch,ice-punch,thunder-punch,disable,mega-drain,thunderbolt,thunder
93,haunter,142,16,1,levitate,nenhuma,nenhuma,fire-punch,ice-punch,thunder-punch,mega-drain,thunderbolt,thunder,toxic
94,gengar,225,15,405,cursed-body,nenhuma,nenhuma,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
95,onix,77,88,2100,weak-armor,sturdy,rock-head,bind,slam,headbutt,tackle,body-slam,take-down,double-edge
96,drowzee,66,10,324,inner-focus,forewarn,insomnia,pound,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
97,hypno,169,16,756,inner-focus,forewarn,insomnia,pound,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
98,krabby,65,4,65,sheer-force,shell-armor,hyper-cutter,vice-grip,guillotine,swords-dance,cut,slam,stomp,body-slam
99,kingler,166,13,600,sheer-force,shell-armor,hyper-cutter,vice-grip,guillotine,swords-dance,cut,slam,stomp,body-slam
100,voltorb,66,5,104,aftermath,static,soundproof,headbutt,tackle,take-down,sonic-boom,thunderbolt,thunder-wave,thunder
101,electrode,172,12,666,aftermath,static,soundproof,headbutt,tackle,take-down,sonic-boom,hyper-beam,thunderbolt,thunder-wave
102,exeggcute,65,4,25,harvest,chlorophyll,nenhuma,swords-dance,take-down,double-edge,strength,mega-drain,leech-seed,solar-beam
103,exeggutor,186,20,1200,harvest,chlorophyll,nenhuma,swords-dance,stomp,headbutt,take-down,double-edge,hyper-beam,low-kick
104,cubone,64,4,65,battle-armor,lightning-rod,rock-head,mega-punch,fire-punch,thunder-punch,swords-dance,double-kick,mega-kick,headbutt
105,marowak,149,10,450,battle-armor,lightning-rod,rock-head,mega-punch,fire-punch,thunder-punch,swords-dance,mega-kick,headbutt,body-slam
106,hitmonlee,159,15,498,unburden,reckless,limber,mega-punch,double-kick,mega-kick,jump-kick,rolling-kick,headbutt,body-slam
107,hitmonchan,159,14,502,inner-focus,iron-fist,keen-eye,comet-punch,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
108,lickitung,77,12,655,cloud-nine,oblivious,own-tempo,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,cut,bind
109,koffing,68,6,10,levitate,nenhuma,nenhuma,tackle,flamethrower,psybeam,thunderbolt,thunder,toxic,rage
110,weezing,172,12,95,levitate,nenhuma,nenhuma,tackle,flamethrower,hyper-beam,thunderbolt,thunder,toxic,rage
111,rhyhorn,69,10,1150,reckless,rock-head,lightning-rod,swords-dance,stomp,headbutt,horn-attack,fury-attack,horn-drill,body-slam
112,rhydon,170,19,1200,reckless,rock-head,lightning-rod,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,swords-dance,cut
113,chansey,395,11,346,healer,serene-grace,natural-cure,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
114,tangela,87,10,350,regenerator,leaf-guard,chlorophyll,swords-dance,cut,bind,slam,vine-whip,headbutt,body-slam
115,kangaskhan,172,22,800,inner-focus,scrappy,early-bird,comet-punch,mega-punch,fire-punch,ice-punch,thunder-punch,cut,stomp
116,horsea,59,4,80,damp,sniper,swift-swim,razor-wind,headbutt,take-down,double-edge,leer,disable,water-gun
117,seadra,154,12,250,damp,sniper,poison-point,headbutt,take-down,double-edge,leer,water-gun,hydro-pump,surf
118,goldeen,64,6,150,lightning-rod,water-veil,swift-swim,horn-attack,fury-attack,horn-drill,body-slam,take-down,double-edge,tail-whip
119,seaking,158,13,390,lightning-rod,water-veil,swift-swim,horn-attack,fury-attack,horn-drill,take-down,double-edge,tail-whip,supersonic
120,staryu,68,8,345,analytic,natural-cure,illuminate,tackle,take-down,double-edge,supersonic,water-gun,hydro-pump,surf
121,starmie,182,11,800,analytic,natural-cure,illuminate,tackle,take-down,double-edge,water-gun,hydro-pump,surf,ice-beam
122,mr-mime,161,13,545,technician,filter,soundproof,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
123,scyther,100,15,560,steadfast,technician,swarm,razor-wind,swords-dance,cut,wing-attack,headbutt,take-down,double-edge
124,jynx,159,14,406,dry-skin,forewarn,oblivious,pound,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam
125,electabuzz,172,11,300,vital-spirit,static,nenhuma,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
126,magmar,173,13,445,vital-spirit,flame-body,nenhuma,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,body-slam,take-down
127,pinsir,175,15,550,moxie,mold-breaker,hyper-cutter,vice-grip,guillotine,swords-dance,cut,bind,headbutt,fury-attack
128,tauros,172,14,884,sheer-force,anger-point,intimidate,stomp,headbutt,horn-attack,horn-drill,tackle,body-slam,take-down
129,magikarp,40,9,100,rattled,swift-swim,nenhuma,tackle,splash,flail,bounce,nenhuma,nenhuma,nenhuma
130,gyarados,189,65,2350,moxie,intimidate,nenhuma,headbutt,tackle,body-slam,take-down,thrash,double-edge,leer
131,lapras,187,25,2200,hydration,shell-armor,water-absorb,headbutt,horn-drill,body-slam,take-down,double-edge,growl,roar
132,ditto,101,3,40,imposter,limber,nenhuma,transform,nenhuma,nenhuma,nenhuma,nenhuma,nenhuma,nenhuma
133,eevee,65,3,65,anticipation,adaptability,run-away,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,tail-whip
134,vaporeon,184,10,290,hydration,water-absorb,nenhuma,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,tail-whip
135,jolteon,184,8,245,quick-feet,volt-absorb,nenhuma,double-kick,sand-attack,headbutt,tackle,body-slam,take-down,double-edge
136,flareon,184,9,250,guts,flash-fire,nenhuma,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,tail-whip
137,porygon,79,8,365,analytic,download,trace,tackle,take-down,double-edge,ice-beam,blizzard,psybeam,hyper-beam
138,omanyte,71,4,75,weak-armor,shell-armor,swift-swim,bind,slam,headbutt,horn-attack,body-slam,take-down,double-edge
139,omastar,173,10,350,weak-armor,shell-armor,swift-swim,bind,headbutt,horn-attack,horn-drill,body-slam,take-down,double-edge
140,kabuto,71,5,115,weak-armor,battle-armor,swift-swim,scratch,sand-attack,body-slam,take-down,double-edge,leer,water-gun
141,kabutops,173,13,405,weak-armor,battle-armor,swift-swim,scratch,razor-wind,swords-dance,cut,mega-kick,sand-attack,headbutt
142,aerodactyl,180,18,590,unnerve,pressure,rock-head,razor-wind,wing-attack,whirlwind,fly,headbutt,take-down,double-edge
143,snorlax,189,21,4600,gluttony,thick-fat,immunity,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,whirlwind,mega-kick
144,articuno,261,17,554,snow-cloak,pressure,nenhuma,razor-wind,gust,whirlwind,fly,take-down,double-edge,roar
145,zapdos,261,16,526,static,pressure,nenhuma,razor-wind,whirlwind,fly,take-down,double-edge,roar,hyper-beam
146,moltres,261,20,600,flame-body,pressure,nenhuma,razor-wind,wing-attack,whirlwind,fly,take-down,double-edge,leer
147,dratini,60,18,33,marvel-scale,shed-skin,nenhuma,bind,slam,headbutt,body-slam,wrap,take-down,double-edge
148,dragonair,147,40,165,marvel-scale,shed-skin,nenhuma,bind,slam,headbutt,horn-drill,body-slam,wrap,take-down
149,dragonite,270,22,2100,multiscale,inner-focus,nenhuma,fire-punch,ice-punch,thunder-punch,razor-wind,cut,wing-attack,fly
150,mewtwo,306,20,1220,unnerve,pressure,nenhuma,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
151,mew,270,4,40,synchronize,nenhuma,nenhuma,pound,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,razor-wind
152,chikorita,64,9,64,leaf-guard,overgrow,nenhuma,swords-dance,cut,vine-whip,headbutt,tackle,body-slam,double-edge
153,bayleef,142,12,158,leaf-guard,overgrow,nenhuma,swords-dance,cut,headbutt,tackle,body-slam,double-edge,growl
154,meganium,236,18,1005,leaf-guard,overgrow,nenhuma,swords-dance,cut,headbutt,tackle,body-slam,double-edge,growl
155,cyndaquil,62,5,79,flash-fire,blaze,nenhuma,cut,double-kick,headbutt,tackle,body-slam,thrash,double-edge
156,quilava,142,9,190,flash-fire,blaze,nenhuma,cut,headbutt,tackle,body-slam,double-edge,leer,roar
157,typhlosion,240,17,795,flash-fire,blaze,nenhuma,mega-punch,fire-punch,thunder-punch,cut,mega-kick,headbutt,tackle
158,totodile,63,6,95,sheer-force,torrent,nenhuma,mega-punch,ice-punch,scratch,razor-wind,swords-dance,cut,mega-kick
159,croconaw,142,11,250,sheer-force,torrent,nenhuma,mega-punch,ice-punch,scratch,swords-dance,cut,mega-kick,headbutt
160,feraligatr,239,23,888,sheer-force,torrent,nenhuma,mega-punch,ice-punch,scratch,swords-dance,cut,mega-kick,headbutt
161,sentret,43,8,60,frisk,keen-eye,run-away,fire-punch,ice-punch,thunder-punch,scratch,cut,slam,headbutt
162,furret,145,18,325,frisk,keen-eye,run-away,fire-punch,ice-punch,thunder-punch,scratch,cut,slam,headbutt
163,hoothoot,52,7,212,tinted-lens,keen-eye,insomnia,wing-attack,whirlwind,fly,tackle,take-down,double-edge,growl
164,noctowl,158,16,408,tinted-lens,keen-eye,insomnia,fly,tackle,take-down,double-edge,growl,hyper-beam,peck
165,ledyba,53,10,108,rattled,early-bird,swarm,comet-punch,mega-punch,ice-punch,thunder-punch,swords-dance,headbutt,tackle
166,ledian,137,14,356,iron-fist,early-bird,swarm,comet-punch,mega-punch,ice-punch,thunder-punch,swords-dance,headbutt,tackle
167,spinarak,50,5,85,sniper,insomnia,swarm,body-slam,double-edge,poison-sting,twineedle,pin-missile,sonic-boom,disable
168,ariados,140,11,335,sniper,insomnia,swarm,swords-dance,body-slam,double-edge,poison-sting,pin-missile,hyper-beam,absorb
169,crobat,241,18,750,infiltrator,inner-focus,nenhuma,wing-attack,fly,double-edge,bite,supersonic,hyper-beam,absorb
170,chinchou,66,5,120,water-absorb,illuminate,volt-absorb,take-down,double-edge,supersonic,mist,water-gun,hydro-pump,surf
171,lanturn,161,12,225,water-absorb,illuminate,volt-absorb,take-down,double-edge,supersonic,water-gun,hydro-pump,surf,ice-beam
172,pichu,41,3,20,lightning-rod,static,nenhuma,double-slap,mega-punch,thunder-punch,mega-kick,headbutt,body-slam,double-edge
173,cleffa,44,3,30,friend-guard,magic-guard,cute-charm,pound,mega-punch,mega-kick,headbutt,body-slam,double-edge,sing
174,igglybuff,42,3,10,friend-guard,competitive,cute-charm,pound,mega-punch,mega-kick,headbutt,body-slam,double-edge,sing
175,togepi,49,3,15,super-luck,serene-grace,hustle,mega-punch,mega-kick,headbutt,body-slam,double-edge,growl,flamethrower
176,togetic,142,6,32,super-luck,serene-grace,hustle,mega-punch,fly,mega-kick,headbutt,body-slam,double-edge,growl
177,natu,64,2,20,magic-bounce,early-bird,synchronize,double-edge,leer,peck,drill-peck,solar-beam,thunder-wave,toxic
178,xatu,165,15,150,magic-bounce,early-bird,synchronize,fly,double-edge,leer,hyper-beam,peck,solar-beam,thunder-wave
179,mareep,56,6,78,plus,static,nenhuma,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,growl
180,flaaffy,128,8,133,plus,static,nenhuma,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,tackle,body-slam
181,ampharos,230,14,615,plus,static,nenhuma,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,tackle,body-slam
182,bellossom,221,4,58,healer,chlorophyll,nenhuma,swords-dance,cut,double-edge,hyper-beam,absorb,mega-drain,solar-beam
183,marill,88,4,85,sap-sipper,huge-power,thick-fat,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,double-edge
184,azumarill,189,8,285,sap-sipper,huge-power,thick-fat,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,double-edge
185,sudowoodo,144,12,380,rattled,rock-head,sturdy,mega-punch,fire-punch,ice-punch,thunder-punch,slam,mega-kick,headbutt
186,politoed,225,11,339,drizzle,damp,water-absorb,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam,double-edge
187,hoppip,50,4,5,infiltrator,leaf-guard,chlorophyll,pay-day,swords-dance,headbutt,tackle,double-edge,tail-whip,growl
188,skiploom,119,6,10,infiltrator,leaf-guard,chlorophyll,swords-dance,headbutt,tackle,double-edge,tail-whip,mega-drain,leech-seed
189,jumpluff,207,8,30,infiltrator,leaf-guard,chlorophyll,swords-dance,headbutt,tackle,double-edge,tail-whip,hyper-beam,mega-drain
190,aipom,72,8,115,skill-link,pickup,run-away,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut
191,sunkern,36,3,18,early-bird,solar-power,chlorophyll,swords-dance,cut,double-edge,absorb,mega-drain,leech-seed,growth
192,sunflora,149,8,85,early-bird,solar-power,chlorophyll,pound,swords-dance,cut,double-edge,hyper-beam,absorb,mega-drain
193,yanma,78,12,380,frisk,compound-eyes,speed-boost,wing-attack,whirlwind,headbutt,tackle,double-edge,supersonic,sonic-boom
194,wooper,42,4,85,unaware,water-absorb,damp,ice-punch,slam,double-kick,headbutt,body-slam,double-edge,tail-whip
195,quagsire,151,14,750,unaware,water-absorb,damp,mega-punch,ice-punch,slam,mega-kick,headbutt,body-slam,double-edge
196,espeon,184,9,265,magic-bounce,synchronize,nenhuma,cut,sand-attack,headbutt,tackle,body-slam,double-edge,tail-whip
197,umbreon,184,10,270,inner-focus,synchronize,nenhuma,cut,sand-attack,headbutt,tackle,body-slam,double-edge,tail-whip
198,murkrow,81,5,21,prankster,super-luck,insomnia,wing-attack,whirlwind,fly,double-edge,peck,drill-peck,thunder-wave
199,slowking,172,20,795,regenerator,own-tempo,oblivious,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,double-edge
200,misdreavus,87,7,10,levitate,nenhuma,nenhuma,headbutt,double-edge,growl,psybeam,thunderbolt,thunder-wave,thunder
201,unown,118,5,50,levitate,nenhuma,nenhuma,hidden-power,nenhuma,nenhuma,nenhuma,nenhuma,nenhuma,nenhuma
202,wobbuffet,142,13,285,telepathy,shadow-tag,nenhuma,counter,destiny-bond,safeguard,mirror-coat,nenhuma,nenhuma,nenhuma
203,girafarig,159,15,415,sap-sipper,early-bird,inner-focus,razor-wind,stomp,double-kick,headbutt,tackle,body-slam,take-down
204,pineco,58,6,72,overcoat,sturdy,nenhuma,headbutt,tackle,body-slam,take-down,double-edge,pin-missile,counter
205,forretress,163,12,1258,overcoat,sturdy,nenhuma,headbutt,tackle,body-slam,take-down,double-edge,hyper-beam,counter
206,dunsparce,145,15,140,rattled,run-away,serene-grace,bind,headbutt,body-slam,take-down,double-edge,bite,flamethrower
207,gligar,86,11,648,immunity,sand-veil,hyper-cutter,guillotine,razor-wind,swords-dance,cut,wing-attack,sand-attack,headbutt
208,steelix,179,92,4000,sheer-force,sturdy,rock-head,cut,bind,slam,headbutt,tackle,body-slam,double-edge
209,snubbull,60,6,78,rattled,run-away,intimidate,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,tackle
210,granbull,158,14,487,rattled,quick-feet,intimidate,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,tackle
211,qwilfish,88,5,39,intimidate,swift-swim,poison-point,swords-dance,headbutt,tackle,take-down,double-edge,poison-sting,pin-missile
212,scizor,175,18,1180,light-metal,technician,swarm,razor-wind,swords-dance,cut,headbutt,double-edge,leer,hyper-beam
213,shuckle,177,6,205,contrary,gluttony,sturdy,bind,headbutt,body-slam,wrap,double-edge,acid,strength
214,heracross,175,15,540,moxie,guts,swarm,swords-dance,cut,headbutt,horn-attack,fury-attack,tackle,body-slam
215,sneasel,86,9,280,pickpocket,keen-eye,inner-focus,ice-punch,scratch,swords-dance,cut,headbutt,double-edge,leer
216,teddiursa,66,6,88,honey-gather,quick-feet,pickup,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,swords-dance,cut
